PHRASE,TRADITIONAL,PRIORITY,PINYIN,DEFINITION
"喜雨",19175,0,"xi3 yu3","pluie saisonnière; pluie bienfaisante"
"喜馬拉雅",59911,0,"Xi3 ma3 la1 ya3","l'Himalaya"
"喜鵲",31987,0,"xi3 que5","pie bavarde"
"喝",1055,0,he1,boire
"喝",1055,1,he4,"crier fort"
"喝令",31988,0,"he4 ling4","crier un ordre ou un commandement"
"喝倒彩",52466,0,"he4 dao4 cai3","huer; siffler (un acteur ou une actrice)"
"喝光",25512,0,"he1 guang1","vider son verre"
"喝彩",31989,0,"he4 cai3",acclamer
"喝掛",36974,0,"he1 gua4","(famil.) être saoul; prendre une cuite"
"喝斥",40340,0,"he1 chi4","réprimander; fustiger; gronder"
"喝止",31990,0,"he4 zhi3","crier à qqn d'arrêter"
"喝水",25513,0,"he1 shui3","boire de l'eau"
"喝茫",36975,0,"he1 mang2","s'ennivrer (Tw)"
"喝茶",36976,0,"he1 cha2","boire du thé"
"喝道",19176,0,"he4 dao4","précéder un lettré-fonctionnaire et crier sur les piétons pour qu'ils libèrent le passage (se dit par ex. pour les huissiers d'un yamen)"
"喝酒",31991,0,"he1 jiu3","boire (de l'alcool); picoler; trinquer; se soûler"
"喝醉",36977,0,"he1 zui4","être ivre; soûl; saoul; enivré; être beurré; bituré; bourré; cuité; éméché; émoustillé; pinté; être pompette"
"喝采",36978,0,"he4 cai3",applaudissement
"喟",4007,0,kui4,soupirer
"喤",4008,0,huang2,"sanglotant; son d'une cloche"
"喧嘩",42118,0,"xuan1 hua2","faire du tapage; vacarme; brouhaha"
"喧囂",42119,0,"xuan1 xiao1",tumulte
"喧擾",40341,0,"xuan1 rao3","déranger par le bruit"
"喧賓奪主",62054,0,"xuan1 bin1 duo2 zhu3","(expr. idiom.) L'invité tapageur a supplanté le maître de maison; La voix de l'invité domine celle du maître de maison; La sauce vaut mieux que le poisson; L'accessoire prend le pas sur l'essentiel"
"喧騰",42120,0,"xuan1 teng2","faire un tumulte; tumulte; brouhaha; vacarme"
"喧鬧",40342,0,"xuan1 nao4","vacarme; brouhaha; bruit; faire du bruit"
"喪",2020,0,sang4,perdre
"喪",2020,1,sang1,"deuil; funérailles"
"喪亂",36979,0,"sang1 luan4","désastre tragique; dérangement et bain de sang"
"喪事",31992,0,"sang1 shi4","funèrailles"
"喪假",36980,0,"sang1 jia4","congé pour funerailles"
"喪命",31993,0,"sang4 ming4","perdre la vie"
"喪失",31994,0,"sang4 shi1",perdre
"喪家",25514,0,"sang1 jia1","salon funéraire"
"喪家之犬",60671,0,"sang4 jia1 zhi1 quan3","chien sans foyer; chien sans maître; chien perdu sans collier"
"喪心病狂",60672,0,"sang4 xin1 bing4 kuang2","devenir forcené et perverti; persister dans le mal; agir sans scrupule; être sans vergogne"
"喪志",36981,0,"sang4 zhi4","perdre la détermination"
"喪服",31995,0,"sang1 fu2","vêtement de deuil"
"喪氣",31996,0,"sang4 qi4","se sentir découragé"
"喪氣",31996,1,"sang4 qi5","être découragé"
"喪父",36982,0,"sang4 fu4","avoir un père décédé"
"喪生",25515,0,"sang4 sheng1","perdre la vie; mourir"
"喪禮",36983,0,"sang1 li3",enterrement
"喪膽",40343,0,"sang4 dan3","perdre courage; trembler de peur"
"喪葬",42121,0,"sang1 zang4","Rite funéraire"
"喪鐘",36984,0,"sang1 zhong1",glas
"喪魂落魄",62392,0,"sang4 hun2 luo4 po4","être pris de panique; mourir de peur; être fou de terreur"
"喫",4009,0,chi1,"manger; prendre qch (par voie orale); anéantir; absorber; s'imprégner de"
"喫",4009,1,chi1,alimentation
"喬",1056,0,qiao2,"grand (de taille); (nom de famille)"
"喬丹",36985,0,"Qiao2 dan1",Jordan
"喬伊",36986,0,"qiao2 yi1",Joy
"喬伊斯",53565,0,"qiao2 yi1 si1",Joyce
"喬冠華",52467,0,"Qiao2 Guan1 hua4","Qiao Guanhua"
"喬冠華",52467,1,"Qiao2 Guan4 hua2","Qiao Guanhua"
"喬布斯",52468,0,"Qiao2 bu4 si1","Steve Jobs"
"喬希",25516,0,"Qiao2 xi1","Josh; Joshi"
"喬木",31997,0,"qiao2 mu4","arbre de haute futaie; tonnelle"
"喬治",31998,0,"Qiao2 zhi4",George
"喬治·奧威爾",63721,0,"Qiao2 zhi4 · Ao4 wei1 er3","George Orwell"
"喬治·布爾",63436,0,"Qiao2 zhi4 · Bu4 er3","George Boole"
"喬治·索羅斯",63722,0,"Qiao2 zhi4 · Suo3 luo2 si1","George Soros"
"喬治·華盛頓",63723,0,"Qiao2 zhi4 · Hua2 sheng4 dun4","George Washington"
"喬治・布爾",63437,0,"Qiao2 zhi4 · Bu4 er3","George Boole"
"喬治亞",52469,0,"Qiao2 zhi4 ya4","Géorgie"
"喬治敦",53566,0,"Qiao2 zhi4 dun1",Georgetown
"喬石",31999,0,"qiao2 shi2","Qiao Shi"
"喬裝",25517,0,"qiao2 zhuang1","se déguiser"
"喬遷",36987,0,"qiao2 qian1","déménager"
"單",183,0,chan2,chef
"單",183,1,dan1,"liste; formulaire; seul; unique; impair (nombre); drap"
"單",183,2,Shan4,"(nom de famille)"
"單一",10018,0,"dan1 yi1",unique
"單于",25518,0,"chan2 yu2",chanyu
"單人",10019,0,"dan1 ren2",individuel
"單人床",47937,0,"dan1 ren2 chuang2","lit simple"
"單人房",46524,0,"dan1 ren2 fang2","chambre simple"
"單人間",45428,0,"dan1 ren2 jian1","chambre individuelle"
"單件",13493,0,"dan1 jian4","Singleton (patron de conception)"
"單位",13494,0,"dan1 wei4","unité (de mesure); unité administrative; service"
"單位名稱",58080,0,"dan1 wei4 ming2 cheng1","nom de l'unité"
"單位犯罪",59912,0,"dan1 wei4 fan4 zui4","crime commis par une organisation; crime organisé"
"單個",10020,0,"dan1 ge5","seul; individuellement; impair"
"單側",25519,0,"dan1 ce4","à une face; unilatéral"
"單價",13495,0,"dan1 jia4","prix unitaire"
"單元",13496,0,"dan1 yuan2","unité"
"單元房",47938,0,"dan1 yuan2 fang2",appartement
"單元測試",58081,0,"dan1 yuan2 ce4 shi4","test unitaire"
"單克隆抗體",63266,0,"dan1 ke4 long2 kang4 ti3","anticorps monoclonal"
"單刀直入",58082,0,"dan1 dao1 zhi2 ru4","frapper droit à coups de sabre; aller droit au fait; entrer de but en blanc dans le vif du sujet; parler sans détours"
"單刀赴會",59913,0,"dan1 dao1 fu4 hui4","(expr. idiom.) aller dans le camp ennemi avec seulement une épée"
"單反相機",56429,0,"dan1 fan3 xiang4 ji1","Appareil photographique reflex mono-objectif"
"單口相聲",57171,0,"dan1 kou3 xiang4 sheng1","monologue comique; sketch humoristique en one-man-show"
"單句",19177,0,"dan1 ju4","phrase simple (grammaire)"
"單向",13497,0,"dan1 xiang4",uni-directionnel
"單單",13498,0,"dan1 dan1","seulement; simplement; juste"
"單子",10021,0,"dan1 zi5","monade (informatique)"
"單字",13499,0,"dan1 zi4",mot
"單寧酸",52470,0,"dan1 ning2 suan1",tanin
"單引號",46525,0,"dan1 yin3 hao4","guillemet (signe)"
"單戀",19178,0,"dan1 lian4","amour non partagé; amour à sens unique"
"單手",13500,0,"dan1 shou3","une main; non-assisté"
"單打",13501,0,"dan1 da3",simple
"單挑",25520,0,"dan1 tiao1","choisir; combattre en duel"
"單擊",19179,0,"dan1 ji1",pointer-et-cliquer
"單據",19180,0,"dan1 ju4","reçu; facture; document; justification"
"單數",13502,0,"dan1 shu4","singulier (adj.)"
"單方",13503,0,"dan1 fang1","unilatéral; remède à la maison; métaphoriquement."
"單方面",46526,0,"dan1 fang1 mian4","unilatéral"
"單日",13504,0,"dan1 ri4","en une seule journée; en un seul jour"
"單晶",25521,0,"dan1 jing1",Monocristal
"單曲",19181,0,"dan1 qu3","Single (musique)"
"單月",13505,0,"dan1 yue4","chaque mois; mensuel; en un seul mois"
"單極",19182,0,"dan1 ji2","monopôle"
"單槍匹馬",61268,0,"dan1 qiang1 pi3 ma3","(expr. idiom.) seul avec sa lance et son cheval; être seul face au danger"
"單模",19183,0,"dan1 mo2","module simple"
"單機",10022,0,"dan1 ji1","(machine) autonome"
"單片機",45429,0,"dan1 pian4 ji1","microcontrôleur"
"單獨",13506,0,"dan1 du2","seul; individuellement; isolément"
"單相",13507,0,"dan1 xiang4",monophase
"單相思",46527,0,"dan1 xiang1 si1","amour non partagé"
"單眼",13508,0,"dan1 yan3",Ommatidie
"單眼皮",47939,0,"dan1 yan3 pi2","simple paupière"
"單程",13509,0,"dan1 cheng2","trajet simple"
"單程票",47940,0,"dan1 cheng2 piao4","billet simple; aller simple"
"單簧管",51116,0,"dan1 huang2 guan3",clarinette
"單糖",32000,0,"dan1 tang2",Ose
"單純",19184,0,"dan1 chun2","simple; pur; simplement; purement"
"單純詞",49518,0,"dan1 chun2 ci2","mot à simple morphème; simple mot"
"單細胞",51117,0,"dan1 xi4 bao1",Unicellulaire
"單聲道",45430,0,"dan1 sheng1 dao4",monophonique
"單色",13510,0,"dan1 se4","monochrome; monochromatique; noir et blanc"
"單號",13511,0,"dan1 hao4","numéro étrange (sur un ticket, une maison)"
"單行",13512,0,"dan1 xing2","traiter séparément; édition séparée; circulation à sens unique"
"單行本",45431,0,"dan1 xing2 ben3","tirage à part; tome séparé"
"單行線",46528,0,"dan1 xing2 xian4","voie à sens unique"
"單衣",25522,0,"dan1 yi1","vêtement sans doublure"
"單親家庭",59013,0,"dan1 qin1 jia1 ting2","monoparentalité"
"單詞",19185,0,"dan1 ci2",mot
"單語",13513,0,"dan1 yu3",monolingue
"單調",19186,0,"dan1 diao4","monotone; uniforme"
"單證",19187,0,"dan1 zheng4",documentation
"單質",19188,0,"dan1 zhi4","Corps simple"
"單身",13514,0,"dan1 shen1","célibataire; isolé de; seul"
"單身漢",47941,0,"dan1 shen1 han4","homme célibataire; bachelier"
"單身貴族",59014,0,"dan1 shen1 gui4 zu2","(fig.) personne non mariée; personne célibataire (particulièrement une qui est confortable financièrement"
"單車",13515,0,"dan1 che1",bicyclette
"單軌",25523,0,"dan1 gui3",Monorail
"單速車",46529,0,"dan1 su4 che1","single speed; monovitesse"
"單過",10023,0,"dan1 guo4","vivre de façon autonome"
"單邊",13516,0,"dan1 bian1","unilatéral"
"單鍵",19189,0,"dan1 jian4","Liaison covalente"
"單間",13517,0,"dan1 jian1","chambre simple"
"單項",19190,0,"dan1 xiang4","un seul élément"
"單體",13518,0,"dan1 ti3","Monomère"
"單點",13519,0,"dan1 dian3","à la carte"
"喱",4010,0,li2,"grain (unité de mesure 1 grain = 0,053 g)"
"喲",2021,0,yo5,"oh!; ah!"
"喲",2021,1,yo1,"oh! (interjection indiquant une légère surprise)"
"喳",4011,0,cha1,jacassement
"喳",4011,1,zha1,"(onom.) gazouillis, cui-cui, etc."
"喳喳",44329,0,"cha1 cha5","murmure; chuchotement; chuchoter; murmurer"
"喵",1057,0,miao1,"(onom.) miaou; miaulement; miauler"
"喵喵",36988,0,"miao1 miao1",Miaouss
"喵星人",47942,0,"miao1 xing1 ren2","chat (argot)"
"喹啉",44330,0,"kui2 lin2","quinoléine"
"喻",2022,0,yu4,"métaphore; expliquer; illustrer; comprendre; savoir"
"嗀",4012,0,huo4,vomir
"嗁",4013,0,ti2,"pleurer; crier; chanter (oiseau); hurler"
"嗃",4014,0,he4,"gronder avec sévérité; canneler"
"嗄",4015,0,a2,"ah ! (exclamation)"
"嗄",4015,1,sha4,rauque
"嗅",2023,0,xiu4,"sentir; flairer"
"嗅到",25524,0,"xiu4 dao4",odorat
"嗅覺",32001,0,"xiu4 jue2","odorat; olfaction"
"嗆",2024,0,qiang1,"s'étouffer (en raison de la déglutition dans le mauvais sens)"
"嗆",2024,1,qiang4,"à irriter le nez; étouffer (par la fumée, etc.); âcre"
"嗇",4016,0,se4,avare
"嗊",4017,0,hong3,chanter
"嗌",4018,0,ai4,"suffoquer; s'étouffer (en avalant); être étranglé (par les sanglots)"
"嗎",25,0,ma3,morphine
"嗎",25,1,ma5,"que; quoi; (particule interrogative placé à la fin d'une phrase)"
"嗎啡",19191,0,"ma3 fei1",morphine
"嗐",4019,0,hai4,"exclamation de regret; hélas !"
"嗑",4020,0,ke4,"bruit de voix; boire"
"嗒",4021,0,ta4,tac
"嗓",2025,0,sang3,"gorge; larynx; voix"
"嗓子",25525,0,"sang3 zi5","gorge; larynx; voix"
"嗓子眼",49519,0,"sang3 zi5 yan3",gorge
"嗓門",32002,0,"sang3 men2","voix; trachée"
"嗓門眼",51118,0,"sang3 men2 yan3",gorge
"嗓音",32003,0,"sang3 yin1",voix
"嗔",2026,0,chen1,"se mettre en colère; se fâcher contre; s'irriter; s'indigner"
"嗔怪",32004,0,"chen1 guai4",reprocher
"嗖",4022,0,sou1,"(onom.) sifflement"
"嗖嗖",44331,0,"sou1 sou1","(onom.) soufflement; bruissement; froissement de jupes; rires"
"嗙",4023,0,pang3,"(onom.) bang !"
"嗚",547,0,wu1,"(onom.) pleurnicher; hélas"
"嗚呼",25526,0,"wu1 hu1","Hélas!"
"嗚呼哀哉",61745,0,"wu1 hu1 ai1 zai1","hélas; tout est perdu"
"嗚咽",36989,0,"wu1 ye4","sangloter; pousser des sanglots"
"嗚嗚",25527,0,"wu1 wu1","Ouin.., ouin..."
"嗚嚕",36990,0,"wu1 lu1","(onom.) brouh; bruits indistincts; bourdonnements"
"嗜",2027,0,shi4,"s'adonner à; être passionné de"
"嗜好",25528,0,"shi4 hao4","faible; pente; propension; faiblesse"
"嗜殺成性",59914,0,"shi4 sha1 cheng2 xing4","sanguinaire; assoiffé de sang"
"嗜血",36991,0,"shi4 xue4","assoiffé de sang; suceur de sang; hemophile"
"嗝",4024,0,ge2,roter
"嗝兒屁",55255,0,"ge2 r pi4","(dial.)mourir; abandonner les fantômes"
"嗟",4025,0,jie1,"soupirer; hélas!"
"嗟",4025,1,jue1,soupirer
"嗟來之食",62262,0,"jie1 lai2 zhi1 shi2","pitance distribuée avec mépris"
"嗡",2028,0,weng1,"mugir; bourdonner"
"嗡嗡",42122,0,"weng1 weng1","(onom.) bourdonnement"
"嗡嗡叫",54308,0,"weng1 weng1 jiao4",bourdonnement
"嗡嗡聲",54309,0,"weng1 weng1 sheng1",bourdonnement
"嗣",4026,0,si4,"succéder à; hériter de; descendant; postérité"
"嗣後",42776,0,"si4 hou4","à partir de là; après; ensuite; par la suite"
"嗤",2029,0,chi1,rire
"嗤之以鼻",59915,0,"chi1 zhi1 yi3 bi2","rire au nez de qqn; faire un pied de nez"
"嗤笑",32005,0,"chi1 xiao4","se moquer de; railler"
"嗥叫",42935,0,"hao2 jiao4","grogner; hurler"
"嗦",4027,0,suo1,sucer
"嗨",1058,0,hai1,"hélas !; ohé !; oh hisse !"
"嗨藥",36992,0,"hai1 yao4","prendre de la drogue; drogue"
"嗩吶",44070,0,"suo3 na4",Suona
"嗬",4028,0,he1,"hey! (exclamation); J'ai dit!"
"嗯",548,0,en5,"(employé pour marquer une interrogation); (employé pour marquer une surprise); ( employé pour marquer une réponse)"
"嗯",548,1,en1,"(son de grondement)"
"嗯昂",36993,0,"n2 ang2","hi han; (onom.) cri de l'âne"
"嗲",4029,0,dia3,"faussement timide; enfantin"
"嗵",4030,0,tong1,"(onom.) bruit sourd"
"嗶",2030,0,bi4,"tissu de laine; serge"
"嗶嘰",42123,0,"bi4 ji1","tissu de laine; serge"
"嗷",4031,0,ao2,"vive clameur; acclamation"
"嗷嗚",43295,0,"ao2 wu1","rouar; (onom.) cri du tigre, du lion, etc."
"嗷嗷待哺",62730,0,"ao2 ao2 dai4 bu3","crier famine"
"嗽",2031,0,sou4,"tousser; se rincer la bouche"
"嗾",4032,0,sou3,agacer
"嘀",4033,0,di2,"médire; médisance"
"嘀咕",44071,0,"di2 gu5","murmurer; se douter de"
"嘀嗒",44332,0,"di1 da1","(onom.) tic tac"
"嘁",4034,0,qi1,murmure
"嘂",4035,0,jiao4,bruyant
"嘆息",32006,0,"tan4 xi1","soupirer; se lamenter sur; déplorer"
"嘆惜",32007,0,"tan4 xi1","soupir de regret"
"嘆服",25529,0,"tan4 fu2","être gagné; être subjugué; admirer"
"嘆氣",25530,0,"tan4 qi4","soupir; soupirer"
"嘈",4036,0,cao2,"vacarme; bruit"
"嘈雜",43296,0,"cao2 za2","bruyant; tumultueux"
"嘉",1059,0,jia1,"bon; excellent"
"嘉年華會",57172,0,"jia1 nian2 hua2 hui4",carnaval
"嘉慶",36994,0,"Jia1 qing4",Jiaqing
"嘉慶帝",53567,0,"jia1 qing4 di4",Jiaqing
"嘉爾曼",53568,0,"Jia1 er3 man4","Carmen (nom)"
"嘉獎",36995,0,"jia1 jiang3","louer; faire l'éloge de"
"嘉義",25531,0,"Jia1 yi4","Jiayi; Chiayi"
"嘉許",25532,0,"jia1 xu3","louer; approuver; décerner des éloges pour le mérite de"
"嘉賓",36996,0,"jia1 bin1","hôte distingué"
"嘉陵江",53569,0,"Jia1 ling2 jiang1","Jialing (rivière)"
"嘉陽愛子",59015,0,"jia1 yang2 ai4 zi3","Aiko Kayo"
"嘌",4037,0,piao1,rapide
"嘌呤",44333,0,"piao4 ling4",purine
"嘍",2032,0,lou2,voyou
"嘍",2032,1,lou5,"(particule finale)"
"嘎吱",42124,0,"ga1 zhi1","(onom.) craquement; crissement"
"嘎嘎",42125,0,"ga1 ga1","coin-coin; (onom.) cri du canard, de l'oie, etc."
"嘏",4038,0,gu3,"bonheur; félicité; bonne fortune"
"嘏",4038,1,jia3,loin
"嘐",4039,0,xiao1,"vantard; emphatique"
"嘑",4040,0,hu1,"expirer; crier; appeler"
"嘒",4041,0,hui4,"son strident; scintillant"
"嘓",4042,0,guo1,"gargouillement; bavardage"
"嘔",2033,0,ou3,vomir
"嘔吐",40344,0,"ou3 tu4",vomissement
"嘔吐物",53570,0,"ou3 tu4 wu4",vomi
"嘔心瀝血",61746,0,"ou3 xin1 li4 xue4","(expr. idiom.) suer sang et eau; se donner une peine de tous les diables; ne pas compter sa fatigue pour aboutir"
"嘖",2034,0,ze2,"faire claquer sa langue; chercher une occasion de parler; chercher à placer un mot"
"嘖嘖",42126,0,"ze2 ze2","faire claquer la langue; jacasser"
"嘗嘗",36997,0,"chang2 chang5","essayer; goûter"
"嘗試",25533,0,"chang2 shi4","essai; essayer; tenter"
"嘚",4043,0,de1,"(onom.) son des pas de chevaux"
"嘛",549,0,ma5,"(placé à la fin de la phrase, marque une évidence); (placé au milieu d'une phrase, marque une pause)"
"嘜",4044,0,mai4,"note (emprunt)"
"嘜頭",42936,0,"mai4 tou2","Marque commerciale"
"嘞",4045,0,lei5,"particule approbative de fin de phrase"
"嘟",2035,0,du1,"(bruit de klaxon)"
"嘟噥",44072,0,"du1 nong5","bredouiller; marmonner; murmurer"
"嘟囔",44073,0,"du1 nang5","marmonner; murmurer"
"嘠",4046,0,ga2,"(onom.) bruit sec"
"嘡",4047,0,tang1,"(onom.) clang; bong; bang"
"嘣",4048,0,beng1,"(bruit de qch qui éclate)"
"嘥",4049,0,sai1,"gaspiller (cant.)"
"嘧",4050,0,mi4,"(phonétique) comme dans pyrimidine"
"嘧啶",44334,0,"mi4 ding4",pyrimidine
"嘩",2036,0,hua1,fracas
"嘩啦",32008,0,"hua2 la5","patatras!; carambolage, froissement"
"嘩啦啦",51119,0,"hua1 la1 la1","(onom.) bruit de qch qui s'écrase"
"嘩嘩",42127,0,"hua1 hua1","(onom. de l'eau gargouillant)"
"嘩眾取寵",62055,0,"hua2 zhong4 qu3 chong3","flatter le public pour gagner sa faveur"
"嘩笑",32009,0,"hua2 xiao4","rire tonitruant"
"嘩變",32010,0,"hua2 bian4","mutinerie; rébellion"
"嘬",4051,0,chuai4,laper
"嘬",4051,1,zuo1,sucer
"嘭",4052,0,peng1,"(onom.) bang !"
"嘮",4053,0,lao2,bavarder
"嘮叨",44074,0,"lao2 dao5","bavarder; jacasser"
"嘮嗑",44335,0,"lao4 ke1","(dial.) discuter; commérer"
"嘯",2037,0,xiao4,"siffler; hurler; mugir; rugir"
"嘰",2038,0,ji1,cui-cui
"嘰嘰喳喳",62740,0,"ji1 ji1 zha1 zha1","(onom.) gazouillement"
"嘰嘰嘎嘎",62577,0,"ji1 ji1 ga2 ga2","(onom.) gloussement"
"嘲",2039,0,chao2,"se moquer de"
"嘲",2039,1,zhao1,"(onom.) bruit de pépiement"
"嘲弄",36998,0,"chao2 nong4","narguer; dérision; bafouer"
"嘲笑",32011,0,"chao2 xiao4","se moquer de; rire de"
"嘲諷",42128,0,"chao2 feng3","se moquer; ridiculiser; narguer"
"嘴",1060,0,zui3,"bouche; bec (d'oiseau, de théière); embouchure (d'un instrument de musique); paroles"
"嘴乖",36999,0,"zui3 guai1","(famil.) parler d'une manière intelligente et adorable"
"嘴唇",40345,0,"zui3 chun2","lèvre"
"嘴巴",32012,0,"zui3 ba5","bouche; claque (sur le visage); gifle"
"嘴快",25534,0,"zui3 kuai4","incapable de tenir sa langue"
"嘴損",37000,0,"zui3 sun3","(dial.) à la langue bien affilée; sévère"
"嘴敞",40346,0,"zui3 chang3","avoir la langue bien pendue; bavard"
"嘴甜",37001,0,"zui3 tian2","paroles doucereuses (ou mielleuses)"
"嘴皮子",49520,0,"zui3 pi2 zi5","lèvres"
"嘴硬",32013,0,"zui3 ying4","qui tient tête; qui a la langue trop bien pendue"
"嘴臉",32014,0,"zui3 lian3","traits (du visage)"
"嘴裡",25535,0,"zui3 li3","bouche; dans la bouche; sur ses lèvres"
"嘴角",32015,0,"zui3 jiao3","commissure des lèvres"
"嘴饞",43670,0,"zui3 chan2","goulu; affamé"
"嘵",4054,0,xiao1,"cri d'effroi; pleur plaintif"
"嘶",2040,0,si1,hennir
"嘶叫",32016,0,"si1 jiao4","hennir; crier"
"嘶啞",42129,0,"si1 ya3","enroué; rauque"
"嘶聲",32017,0,"si1 sheng1",sifflement
"嘹",4055,0,liao2,"son clair; cri (d'animal)"
"嘹亮",43297,0,"liao2 liang4",sonore
"嘻哈",19192,0,"xi1 ha1",Hip-hop
"嘻嘻",25536,0,"xi1 xi1","(onom.) Hihi !"
"嘻嘻哈哈",59016,0,"xi1 xi5 ha1 ha1","rire aux éclats; plaisanter"
"嘻笑節",49521,0,"xi1 xiao4 jie2","Juste pour rire"
"嘽嘽",44336,0,"chan3 chan3","détendu et tranquille"
"嘿",550,0,hei1,"hé!; eh!; holà!"
"嘿咻",37002,0,"hei1 xiu1","faire l'amour; avoir une relation sexuelle"
"嘿嘿",25537,0,"hei1 hei1","hé hé..."
"噁",2041,0,wu4,"malveillance; nausée"
"噂",4056,0,zun3,entretien
"噅",4057,0,hui1,"parler à tort ou à raison; laid"
"噉",4058,0,dan4,"manger; nourrir; alimenter; attirer; séduire; entraîner; allécher"
"噉",4058,1,dan4,"mordre; mâcher"
"噌",4059,0,ceng1,"gronder; vlan!"
"噌",4059,1,cheng1,"(bruit de frottement, grondement)"
"噍類",42937,0,"jiao4 lei4","un être vivant"
"噎",2042,0,ye1,"s'étouffer; s'étrangler"
"噓",2043,0,xu1,souffle
"噓寒問暖",61747,0,"xu1 han2 wen4 nuan3","poser des questions sur la santé de qqn"
"噓聲",32018,0,"xu1 sheng1","huée"
"噔",4060,0,deng1,"(onom.) bruit sourd; bruit sourd"
"噗",2044,0,pu1,"(onom.) pfff"
"噘",4061,0,jue1,"bouder; moue"
"噙",4062,0,qin2,"tenir en bouche; tenir aux yeux"
"噚",4063,0,xun2,"brasse (unité de mesure)"
"噝",4064,0,si1,"(onom.) sifflement"
"噠",4065,0,da1,"(fracas des sabots de chevaux)"
"噢",2045,0,o1,"c'est-à-dire"
"噢噢噢",55160,0,"o1 o1 o1","cocorico; (onom.) cri du coq"
"噤",4066,0,jin4,"bouche close; silence"
"噤若寒蟬",62627,0,"jin4 ruo4 han2 chan2","(expr. idiom.) garder le silence par peur"
"噥",4067,0,nong2,"grommeler; marmotter"
"噦",4068,0,yue3,Vomissement
"器",184,0,qi4,"ustensile; appareil; objet; organe; capacité; talent"
"器件",13520,0,"qi4 jian4","dispositif; composant"
"器具",19193,0,"qi4 ju4","ustensile; instrument; outil; appareil; attirail"
"器官",19194,0,"qi4 guan1",organe
"器官移植",61269,0,"qi4 guan1 yi2 zhi2","Greffe (médecine)"
"器材",25538,0,"qi4 cai2","équipement; appareil"
"器械",25539,0,"qi4 xie4","équipement; appareil"
"器樂",13521,0,"qi4 yue4","musique instrumentale"
"器物",13522,0,"qi4 wu4","instruments; ustensiles"
"器皿",42938,0,"qi4 min3","récipient; ustensile"
"器重",13523,0,"qi4 zhong4","apprécier; estimer"
"噩",2046,0,e4,"mauvais; funeste; surprenant; bouleversant"
"噩夢",32019,0,"e4 meng4",cauchemar
"噩耗",40347,0,"e4 hao4","mauvaise nouvelle"
"噩運",32020,0,"e4 yun4",malchance
"噪聲",32021,0,"zao4 sheng1",bruit
"噪聲污染",62056,0,"zao4 sheng1 wu1 ran3","pollution sonore"
"噪音",32022,0,"zao4 yin1",bruit
"噫",2047,0,yi1,cri
"噬",2048,0,shi4,"mordre; ronger"
"噬菌體",54310,0,"shi4 jun1 ti3","bactériophage"
"噯",2049,0,ai3,"(interjection exprimant la désapprobation ou la négation)"
"噯",2049,1,ai4,"(interjection marquant le regret et le repentir)"
"噯氣",32023,0,"ai4 qi4","éructation"
"噱",2050,0,jue2,rire
"噱頭",32024,0,"xue2 tou2","drôlerie"
"噲",4069,0,kuai4,"gorge; avaler"
"噴",1061,0,pen1,"jaillir; vaporiser"
"噴",1061,1,pen4,"de saison; parfumé; récolte"
"噴出",19195,0,"pen1 chu1","jaillir (de); jet; éjection; extrusion"
"噴嘴",37003,0,"pen1 zui3",bec
"噴嚏",43671,0,"pen1 ti4","éternuement"
"噴墨",37004,0,"pen1 mo4","impression jet d'encre"
"噴墨打印機",63223,0,"pen1 mo4 da3 yin4 ji1","imprimante à jet d'encre"
"噴壺",40348,0,"pen1 hu2",arrosoir
"噴子",19196,0,"pen1 zi5","pulvérisateur; appareil de pulvérisation; arme à feu (argot)"
"噴射",32025,0,"pen1 she4","jaillir; pulvériser; vaporiser"
"噴射機",49522,0,"pen1 she4 ji1","jet (avion, engin); machine de pulvérisation"
"噴氣",25540,0,"pen1 qi4","jet; souffle d'air"
"噴氣式",49523,0,"pen1 qi4 shi4","propulsion à réaction"
"噴氣式飛機",62987,0,"pen1 qi4 shi4 fei1 ji1","avion à réaction"
"噴氣機",47943,0,"pen1 qi4 ji1","jet (avion)"
"噴氣發動機",62911,0,"pen1 qi4 fa1 dong4 ji1","moteur à réaction"
"噴水池",52471,0,"pen1 shui3 chi2",fontaine
"噴油嘴",53571,0,"pen1 you2 zui3","injecteur gaz-oil; buse"
"噴泉",37005,0,"pen1 quan2","fontaine (bassin)"
"噴漆",40349,0,"pen1 qi1","pulvériser de la peinture ou de la laque; laque"
"噴灑",40350,0,"pen1 sa3","asperger; pulvériser; vaporiser"
"噴火",32026,0,"pen1 huo3","Supermarine Spitfire"
"噴發",19197,0,"pen1 fa1","jaillir; vomir"
"噴砂機",51120,0,"pen1 sha1 ji1",sableuse
"噴管",25541,0,"pen1 guan5","tuyère"
"噴粉",37006,0,"pen1 fen3","saupoudrage; badigeonnage"
"噴糞",40351,0,"pen1 fen4","dire des conneries"
"噴薄",37007,0,"pen1 bo2","jaillir; monter en jet"
"噴霧",37008,0,"pen1 wu4","nuage brouillard; atomisation; pulvérisation; nébulisation"
"噴霧器",52472,0,"pen1 wu4 qi4","pulvérisateur"
"噴頭",25542,0,"pen1 tou2","jet de douche; pomme d'arrosoir; pommeau de douche"
"噴飯",37009,0,"pen1 fan4","éclater de rire"
"噴香",32027,0,"pen4 xiang1","fort (parfum); pénétrant; odorant; délicieux"
"噶",2051,0,ga2,"(phonétique)"
"噸",2052,0,dun1,tonne
